; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:56:01 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.09472534,0,1,0
0.0947255,0,0,0
0.09472568,0,1,0
0.09472584,0,0,0
0.09472594,0,1,0
0.09472604,0,0,0
0.09472616,0,1,0
0.09472628,0,0,0
0.09472636,0,1,0
0.09472644,0,0,0
0.09472652,0,1,0
0.09472662,0,0,0
0.0947267,0,1,0
0.09472684,0,0,0
0.094727,0,1,0
0.09472718,0,0,0
0.09472728,0,1,0
0.09472738,0,0,0
0.0947275,0,1,0
0.09472762,0,0,0
0.0947277,0,1,0
0.0947278,0,0,0
0.09472786,0,1,0
0.09472796,0,0,0
0.09472804,0,1,0
0.09472812,0,0,0
0.0947282,0,1,0
0.09472836,0,0,0
0.09472848,0,1,0
0.09472864,0,0,0
0.0947287,0,1,0
0.0947288,0,0,0
0.09472886,0,1,0
0.09472904,0,0,0
0.09472912,0,1,0
0.09472922,0,0,0
0.0947293,0,1,0
0.09472938,0,0,0
0.09472946,0,1,0
0.09472956,0,0,0
0.09472962,0,1,0
0.09472972,0,0,0
0.0947298,0,1,0
0.09472988,0,0,0
0.09473004,0,1,0
0.0947302,0,0,0
0.0947303,0,1,0
0.0947304,0,0,0
0.09473046,0,1,0
0.09473056,0,0,0
0.09473072,0,1,0
0.09473084,0,0,0
0.09473108,0,1,0
0.09473116,0,0,0
0.09473124,0,1,0
0.09473152,0,0,0
0.09473186,1,0,0
0.10074916,1,1,0
0.10074934,1,0,0
0.10074948,1,1,0
0.1007498,1,0,0
0.10074998,1,1,0
0.10075008,1,0,0
0.10075014,1,1,0
0.1007503,1,0,0
0.1007504,1,1,0
0.10075048,1,0,0
0.10075062,1,1,0
0.10075074,1,0,0
0.1007508,1,1,0
0.1007509,1,0,0
0.10075098,1,1,0
0.10075106,1,0,0
0.10075114,1,1,0
0.1007513,1,0,0
0.10075138,1,1,0
0.10075148,1,0,0
0.10075162,0,1,0
0.10075174,0,0,0
0.1007518,0,1,0
